id_municipio,ano,tx_aprov,ensino,ideb
1100304,2021,75.65,medio,3.55
1200435,2021,90,medio,2.9
1300060,2021,89.4,medio,3
1300201,2021,72.7,medio,2.2
1300508,2021,87.1,medio,3.1
1300607,2021,87.4,medio,2.8
1300680,2021,87.5,medio,3.1
1300805,2021,87.2,medio,3.1
1300839,2021,94.9,medio,3.1
1301407,2021,88.56666666666666,medio,3.9000000000000004
1301605,2021,83.2,medio,2.5
1301704,2021,84.96666666666667,medio,3.3499999999999996
1301803,2021,81.6,medio,2.5
1301902,2021,92.83333333333333,medio,3.45
1301951,2021,90.6,medio,2.9
1302207,2021,83.9,medio,3
1302306,2021,75.9,medio,2.5
1302801,2021,92.3,medio,2.8
1302900,2021,82.83333333333333,medio,2.8499999999999996
1303106,2021,85.9,medio,3
1303403,2021,92.36666666666666,medio,3.8499999999999996
1303502,2021,84.6,medio,2.9
1303569,2021,78.3,medio,2.5
1303601,2021,95.5,medio,3.1
1303700,2021,88.2,medio,3.1
1303809,2021,80.86666666666667,medio,2.8
1303908,2021,90,medio,2.7
1304062,2021,88.86666666666666,medio,3.1
1304203,2021,81.76666666666667,medio,2.95
1500107,2021,85.06666666666666,medio,3.25
1500404,2021,66.3,medio,2.5
1500602,2021,77.23333333333333,medio,3.05
1500800,2021,78.1,medio,3
1500909,2021,71.8,medio,2.5
1500958,2021,72.5,medio,2.5
1501204,2021,75.1,medio,2.7
1501402,2021,83.19999999999999,medio,3.1
1501501,2021,75.6,medio,3.1
1501600,2021,62.4,medio,2.1
1501709,2021,79.39999999999999,medio,2.65
1501907,2021,71.6,medio,2.5
1502004,2021,69.1,medio,2.5
1502103,2021,70.4,medio,2.95
1502202,2021,65.7,medio,2.6
1502301,2021,66.2,medio,2.5
1502756,2021,65.8,medio,2.2
1502764,2021,60.9,medio,2.2
1502905,2021,73.2,medio,3
1502939,2021,53.3,medio,2.2
1503077,2021,69.3,medio,2.4
1503200,2021,80.9,medio,3
1503309,2021,75.3,medio,2.8
1503507,2021,68.6,medio,2.5
1503606,2021,66.4,medio,2.75
1503705,2021,60.8,medio,2.3
1503804,2021,62.1,medio,2.4
1503903,2021,85.5,medio,3.1
1504000,2021,71.1,medio,2.6
1504208,2021,72.6,medio,2.95
1504307,2021,79.2,medio,2.7
1504406,2021,71.9,medio,2.6
1504703,2021,84.9,medio,2.9
1504802,2021,70.4,medio,3
1505106,2021,80.7,medio,3
1505403,2021,83,medio,3
1505437,2021,68.9,medio,2.8
1505486,2021,70.4,medio,2.9
1505601,2021,76.4,medio,3
1505700,2021,82,medio,3.1
1505809,2021,67,medio,2.6
1505908,2021,64.7,medio,2.2
1506005,2021,80.8,medio,2.8
1506112,2021,81,medio,3.1
1506203,2021,73.1,medio,2.8
1506302,2021,76.7,medio,2.9
1506351,2021,78.1,medio,3
1506401,2021,70,medio,2.3
1506500,2021,71.3,medio,2.8
1506609,2021,65.1,medio,2.5
1507003,2021,74.5,medio,2.7
1507201,2021,65.4,medio,2.4
1507458,2021,71.4,medio,2.8
1507607,2021,74.2,medio,3
1508001,2021,74.9,medio,2.8
1508035,2021,85.7,medio,3.1
1508050,2021,57.3,medio,2.2
1508084,2021,61.6,medio,2.6
1508100,2021,78.53333333333333,medio,2.95
1508308,2021,71.9,medio,2.4
1508407,2021,60.8,medio,2.6
1600253,2021,85.3,medio,3
1600279,2021,61,medio,2.2
1600709,2021,75.6,medio,3
1600808,2021,75.2,medio,2.7
1702109,2021,89.23333333333333,medio,4.25
1708205,2021,94.69999999999999,medio,4.25
1709500,2021,91.7,medio,4.55
1720200,2021,76.9,medio,3.1
2100055,2021,83.16666666666667,medio,4.05
2100105,2021,86.2,medio,2.9
2100204,2021,76.36666666666667,medio,2.9
2100873,2021,83.4,medio,2.8
2100907,2021,90.2,medio,3.45
2100956,2021,72.9,medio,2.7
2101608,2021,83.66666666666667,medio,3.3499999999999996
2101707,2021,79.53333333333333,medio,2.8
2101731,2021,84,medio,2.7
2101970,2021,77.6,medio,2.4
2102002,2021,75.4,medio,2.7
2102036,2021,83.4,medio,2.9
2102150,2021,68.6,medio,2.1
2102200,2021,89.7,medio,3
2102325,2021,90.03333333333333,medio,3.35
2102358,2021,88.6,medio,3.1
2102374,2021,90.6,medio,2.9
2102408,2021,86.3,medio,2.9
2102606,2021,68.3,medio,2.5
2102903,2021,79.1,medio,3.1
2103158,2021,83,medio,3
2103307,2021,89.66666666666667,medio,3.75
2103406,2021,79.93333333333334,medio,3.45
2103901,2021,88.7,medio,2.9
2104800,2021,85.6,medio,3.55
2105005,2021,93,medio,3
2105104,2021,91.4,medio,3
2105153,2021,67.5,medio,2.2
2105302,2021,90.16666666666666,medio,4.15
2105351,2021,81,medio,2.8
2105401,2021,81.53333333333333,medio,2.8
2105807,2021,98.05,medio,3.95
2105906,2021,84.3,medio,2.9
2106375,2021,85.2,medio,2.8
2106607,2021,76,medio,2.9
2106631,2021,75.1,medio,2.5
2106904,2021,76.5,medio,2.7
2107100,2021,85.2,medio,2.9
2107407,2021,70.4,medio,2.8
2107704,2021,78,medio,3
2108058,2021,91,medio,3
2108207,2021,93.53333333333333,medio,4.533333333333333
2108256,2021,79.3,medio,2.6
2108603,2021,83.53333333333335,medio,3.3499999999999996
2108702,2021,78.1,medio,2.9
2109106,2021,82.13333333333334,medio,3.933333333333334
2109205,2021,91.3,medio,3.1
2109270,2021,80.8,medio,2.5
2109452,2021,77.5,medio,2.9
2109809,2021,78,medio,3
2109908,2021,81.03333333333333,medio,3.35
2110104,2021,87.1,medio,2.8
2110302,2021,79.9,medio,2.9
2110906,2021,88.5,medio,2.9
2111003,2021,76,medio,2.7
2111029,2021,76.3,medio,2.8
2111052,2021,85.5,medio,3
2111078,2021,76.2,medio,2.5
2111102,2021,93.2,medio,4.15
2111300,2021,88.66666666666666,medio,4.166666666666667
2111508,2021,84.9,medio,3
2111763,2021,81.4,medio,3.1
2111789,2021,100,medio,3.1
2111805,2021,88.1,medio,3.45
2111904,2021,87.8,medio,3
2111953,2021,96.2,medio,3.1
2112274,2021,72,medio,2.4
2112308,2021,82.6,medio,2.9
2112407,2021,72.1,medio,2.4
2112456,2021,78.7,medio,2.8
2112506,2021,87.8,medio,3.3333333333333335
2112605,2021,88.1,medio,2.9
2112803,2021,79.7,medio,3.1
2113009,2021,77.8,medio,3.1
2200608,2021,86.33333333333333,medio,4.166666666666667
2201988,2021,100,medio,3.1
2202406,2021,83.5,medio,2.9
2202703,2021,87.53333333333333,medio,4.05
2202901,2021,80.60000000000001,medio,3.05
2203453,2021,100,medio,3
2203909,2021,88.03333333333333,medio,4.433333333333333
2208007,2021,86.03333333333333,medio,3.75
2208403,2021,91.46666666666667,medio,4.05
2211001,2021,91.8,medio,4.25
2300309,2021,98.8,medio,4.45
2301257,2021,100,medio,6.4
2304400,2021,91.39999999999999,medio,4.45
2306900,2021,94.96666666666667,medio,4.666666666666667
2307601,2021,94.33333333333333,medio,5.066666666666666
2313302,2021,96.66666666666666,medio,4.55
2313757,2021,84.13333333333333,medio,3.55
2400307,2021,65.1,medio,2.2
2400703,2021,81.7,medio,3.1
2401008,2021,81.66666666666666,medio,3.5999999999999996
2401107,2021,68.1,medio,2.9
2401800,2021,76.6,medio,2.8
2402808,2021,74.5,medio,2.6
2403103,2021,82.16666666666667,medio,3.95
2403251,2021,81.3,medio,3.75
2403806,2021,68.5,medio,2.7
2404507,2021,72.9,medio,2.8
2404705,2021,79.26666666666667,medio,2.6
2404903,2021,49.6,medio,2
2405108,2021,71,medio,2.7
2406700,2021,90.16666666666667,medio,4.3999999999999995
2407104,2021,74.3,medio,3
2408003,2021,81.46666666666667,medio,3.4000000000000004
2408300,2021,79.96666666666665,medio,2.6
2408805,2021,77.1,medio,2.8
2409902,2021,77.4,medio,3
2411056,2021,56.1,medio,2.3
2411908,2021,61.4,medio,2.3
2413003,2021,61.9,medio,2.8
2413557,2021,70.7,medio,3
2414605,2021,66.4,medio,3
2414902,2021,73.3,medio,3
2504009,2021,93.63333333333333,medio,4.45
2506905,2021,96.56666666666666,medio,4.15
2507002,2021,90.73333333333333,medio,4.533333333333333
2509701,2021,91.60000000000001,medio,4.15
2511400,2021,90.46666666666667,medio,4.300000000000001
2513406,2021,94.73333333333333,medio,4.05
2516201,2021,91.76666666666667,medio,4.366666666666666
2600104,2021,91.15,medio,4.35
2601409,2021,84.63333333333333,medio,4.35
2601706,2021,87.3,medio,4.45
2602308,2021,97.36666666666667,medio,4.55
2605707,2021,89.93333333333334,medio,4.15
2609907,2021,95.7,medio,4.05
2611101,2021,85,medio,4.15
2611533,2021,99.5,medio,6.3
2612208,2021,87.13333333333334,medio,4.699999999999999
2612604,2021,78,medio,3.05
2613701,2021,88.76666666666667,medio,4.2333333333333325
2613909,2021,92.13333333333334,medio,4.45
2615904,2021,92.10000000000001,medio,4.766666666666667
2616407,2021,91.69999999999999,medio,4.45
2700300,2021,85.23333333333333,medio,3.85
2700706,2021,93.53333333333333,medio,4.05
2702306,2021,76.26666666666667,medio,2.65
2702900,2021,79.2,medio,3
2703007,2021,95.5,medio,6.2
2703809,2021,76.4,medio,3.1
2704104,2021,79.8,medio,3.1
2705101,2021,80.8,medio,3.1
2706000,2021,86.3,medio,3.1
2706307,2021,91,medio,4.05
2706406,2021,75,medio,2.8
2706901,2021,83.3,medio,3.1
2707107,2021,87.03333333333333,medio,4.199999999999999
2707206,2021,69.1,medio,2.7
2708204,2021,86.4,medio,3
2708501,2021,83.7,medio,2.9
2708600,2021,82.65,medio,3.55
2709400,2021,96.65,medio,3.55
2800704,2021,83.8,medio,2.9
2802106,2021,85.13333333333334,medio,3.6500000000000004
2802908,2021,91.30000000000001,medio,4.333333333333333
2803500,2021,95.9,medio,4.733333333333333
2804508,2021,95.19999999999999,medio,4.15
2804904,2021,88.5,medio,3
