ano,id_municipio,tx_aband,hrs_aula,tdi
2021,1100015,0.16666666666666666,4,21.916666666666668
2021,1100023,1.6285714285714286,4.407142857142857,13.57857142857143
2021,1100031,0.35454545454545455,4,10.672727272727274
2021,1100049,0.4933333333333334,4.4866666666666655,9.313333333333333
2021,1100056,0.21999999999999997,4.06,7.5200000000000005
2021,1100064,0,4.046153846153845,7.146153846153846
2021,1100072,0,4.041666666666667,12.966666666666667
2021,1100080,2.8666666666666663,4.199999999999999,23.191666666666666
2021,1100098,1.9714285714285718,4.235714285714286,14.79285714285714
2021,1100106,2.276923076923077,4.138461538461539,27.184615384615388
2021,1100114,0.05714285714285715,4.242857142857143,12.392857142857142
2021,1100122,1.8999999999999997,4.5285714285714285,16.68571428571428
2021,1100130,3.0214285714285714,4.114285714285714,17.4
2021,1100148,0,4.2727272727272725,6.418181818181818
2021,1100155,0.4923076923076923,4.138461538461537,11.453846153846154
2021,1100189,0.6538461538461539,4.3,10.438461538461539
2021,1100205,1.8800000000000003,4.326666666666666,15.493333333333334
2021,1100254,0,4.075,6.8500000000000005
2021,1100262,0.4499999999999999,4,19.700000000000003
2021,1100288,0.06153846153846155,4.23076923076923,7.915384615384616
2021,1100296,0,4.125,6.875
2021,1100304,0.45,4.284615384615385,15.050000000000002
2021,1100320,0.06153846153846155,4.107692307692307,7.23076923076923
2021,1100338,3.4571428571428564,4.135714285714286,23.150000000000002
2021,1100346,0.01818181818181818,5.236363636363637,12.654545454545456
2021,1100379,0.225,4,19.466666666666665
2021,1100403,0.48461538461538467,4.030769230769231,17.476923076923075
2021,1100452,1.0923076923076924,4.046153846153845,8.015384615384615
2021,1100502,0,4.074999999999999,10
2021,1100601,0.2,4.172727272727272,14.781818181818181
2021,1100700,5.200000000000001,4.091666666666667,24.566666666666666
2021,1100809,4.316666666666666,4.35,26.116666666666664
2021,1100908,0,4.06,12.72
2021,1100924,1.2333333333333334,4.458333333333333,17.941666666666663
2021,1100940,1.4615384615384615,4.176923076923077,16.599999999999998
2021,1101005,0.44999999999999996,4,16.90833333333333
2021,1101104,0.5454545454545455,4.218181818181818,12.89090909090909
2021,1101203,0.39166666666666666,4.266666666666667,6.374999999999999
2021,1101302,0.5785714285714286,4.2785714285714285,17.135714285714283
2021,1101401,1.4363636363636365,4.0272727272727264,19.509090909090904
2021,1101435,1.9272727272727272,4.263636363636364,18.609090909090906
2021,1101450,2.125,4.091666666666667,21.541666666666664
2021,1101468,1.25,4,9.825
2021,1101476,0,4.050000000000001,6.9750000000000005
2021,1101484,0.15,4,10.5
2021,1101492,0.6166666666666666,4.3,12.158333333333333
2021,1101500,8.566666666666666,4.433333333333333,7.666666666666666
2021,1101559,0.2,4.218181818181819,13.936363636363636
2021,1101609,0,4.159999999999999,13.04
2021,1101708,0.14545454545454545,4.136363636363636,14.754545454545456
2021,1101757,1.3909090909090907,4,14.50909090909091
2021,1101807,0.2461538461538462,5.015384615384615,15.46923076923077
2021,1200013,3.3750000000000004,4.308333333333333,21.375
2021,1200054,6.55,4.227272727272727,38.31666666666667
2021,1200104,0.7416666666666666,4.175,16.391666666666666
2021,1200138,3.283333333333333,4.249999999999999,25.575000000000003
2021,1200179,6.316666666666668,4.216666666666666,28.666666666666668
2021,1200203,1.814285714285714,4.285714285714286,20.050000000000004
2021,1200252,2.625,4.625000000000001,20.733333333333334
2021,1200302,2.0416666666666665,4.249999999999999,36.06666666666667
2021,1200328,2.3583333333333334,4.225,36.4
2021,1200336,5.116666666666666,4.216666666666667,26.066666666666666
2021,1200344,1.9333333333333331,4.216666666666667,46.741666666666674
2021,1200351,1.6818181818181819,4.2,40.03636363636364
2021,1200385,4.091666666666667,4.25,22.23333333333333
2021,1200393,1.9666666666666668,4.3,38.59166666666666
2021,1200401,1.36875,4.30625,13.343749999999998
2021,1200427,2.575,4.25,20.208333333333336
2021,1200435,2.4636363636363634,4.3,42.054545454545455
2021,1200450,3.535714285714285,4.3,16.05
2021,1200500,8.45,4.258333333333333,28.316666666666666
2021,1200609,5.316666666666666,4.25,35.00833333333333
2021,1200708,2.0916666666666672,4.7272727272727275,29.150000000000002
2021,1200807,1.9583333333333335,4.291666666666667,26.741666666666667
2021,1300029,8.754545454545454,4.109090909090909,31.21818181818182
2021,1300060,2.2750000000000004,4.2250000000000005,27.44166666666667
2021,1300086,0.3333333333333333,4.116666666666666,16.383333333333333
2021,1300102,2,4.118181818181817,17.599999999999998
2021,1300144,9.245454545454544,4.281818181818182,26.554545454545455
2021,1300201,2.7857142857142865,4.1571428571428575,23.185714285714287
2021,1300300,6.245454545454546,4.145454545454545,22.154545454545456
2021,1300409,5.491666666666667,4.116666666666666,27.45
2021,1300508,3.9000000000000004,4.25,17.508333333333333
2021,1300607,3.9285714285714284,4.157142857142858,14.657142857142855
2021,1300631,4.318181818181818,4.090909090909092,26.827272727272728
2021,1300680,4.972727272727273,4.245454545454545,18.045454545454543
2021,1300706,1.9928571428571429,4.3428571428571425,15.55
2021,1300805,1.5916666666666666,4.533333333333333,21.924999999999997
2021,1300839,5.883333333333334,4.1499999999999995,23.508333333333333
2021,1300904,8.127272727272727,4.154545454545454,33.00000000000001
2021,1301001,2.3363636363636364,4.881818181818182,25.19090909090909
2021,1301100,3.683333333333333,4.1,21.891666666666666
2021,1301159,1.8333333333333333,4.066666666666666,25.141666666666666
2021,1301209,2.4615384615384617,4.26923076923077,20.33076923076923
2021,1301308,4.245454545454546,4.109090909090909,25.818181818181817
2021,1301407,2.1461538461538465,4.4,22.769230769230766
