id_municipio,ano,tx_aprov,ensino,ideb
1100015,2021,94.31666666666666,fundamental,4.749999999999999
1100023,2021,94.2,fundamental,4.983333333333333
1100049,2021,99.46666666666667,fundamental,5.316666666666666
1100064,2021,99.325,fundamental,5.65
1100072,2021,98.65,fundamental,5.324999999999999
1100080,2021,94.3,fundamental,4.775
1100098,2021,98.31666666666666,fundamental,5.24
1100106,2021,96.74,fundamental,4.76
1100122,2021,98.44,fundamental,5.279999999999999
1100148,2021,100,fundamental,5.74
1100155,2021,97.65,fundamental,5.300000000000001
1100189,2021,98.93333333333335,fundamental,5.379999999999999
1100205,2021,96.03999999999999,fundamental,5.02
1100254,2021,99.2,fundamental,5.32
1100288,2021,99.58,fundamental,5.52
1100304,2021,96.1,fundamental,5.239999999999999
1100338,2021,93.825,fundamental,4.525
1100346,2021,98.85000000000001,fundamental,4.949999999999999
1100379,2021,96.7,fundamental,5.0249999999999995
1100809,2021,92.76,fundamental,4.54
1101005,2021,98.1,fundamental,5.125
1101435,2021,96.9,fundamental,4.45
1101468,2021,98.55,fundamental,4.85
1101492,2021,97.75,fundamental,4.975
1101559,2021,96.14000000000001,fundamental,4.866666666666666
1101708,2021,99.69999999999999,fundamental,5.066666666666666
1101807,2021,99,fundamental,4.775
1200104,2021,99.08,fundamental,5.699999999999999
1200203,2021,96.55,fundamental,4.9833333333333325
1200302,2021,93.74,fundamental,5.039999999999999
1200328,2021,97.16666666666667,fundamental,4.500000000000001
1200385,2021,92.31666666666666,fundamental,4.78
1200393,2021,95.89999999999999,fundamental,4.125
1200401,2021,94.8,fundamental,5.542857142857143
1200427,2021,97.36,fundamental,4.45
1200435,2021,99.025,fundamental,3.1
1200450,2021,92.6,fundamental,5.279999999999999
1200500,2021,87.19999999999999,fundamental,4.68
1200609,2021,94.14,fundamental,4.84
1200708,2021,94.74000000000001,fundamental,5.08
1200807,2021,92.45,fundamental,4.625
1300029,2021,90.08333333333333,fundamental,4.133333333333334
1300060,2021,94.43333333333334,fundamental,4.6000000000000005
1300102,2021,97.53333333333335,fundamental,4.9833333333333325
1300144,2021,89.98333333333333,fundamental,5.375
1300201,2021,95.16,fundamental,3.95
1300300,2021,89.88,fundamental,4.533333333333333
1300409,2021,93.67999999999999,fundamental,4.82
1300508,2021,95.69999999999999,fundamental,4.266666666666667
1300607,2021,96.14999999999999,fundamental,4.583333333333334
1300631,2021,95.78333333333333,fundamental,4.666666666666666
1300680,2021,94.06,fundamental,4.499999999999999
1300706,2021,96.81666666666666,fundamental,5.116666666666667
1300805,2021,96.93333333333332,fundamental,4.3999999999999995
1300839,2021,93.18333333333334,fundamental,4.579999999999999
1300904,2021,92.4,fundamental,4.18
1301001,2021,94.2,fundamental,4.72
1301100,2021,93.88333333333333,fundamental,4.8500000000000005
1301159,2021,95.45,fundamental,4.416666666666667
1301209,2021,94.76666666666667,fundamental,4.333333333333334
1301506,2021,97.73333333333333,fundamental,4.56
1301605,2021,89.2,fundamental,3.7666666666666666
1301654,2021,91.4,fundamental,4.050000000000001
1301704,2021,94.06666666666666,fundamental,4.566666666666666
1301803,2021,86.26,fundamental,3.6999999999999997
1301951,2021,85.21666666666667,fundamental,4.84
1302009,2021,98.46666666666667,fundamental,5.033333333333333
1302108,2021,89.08333333333333,fundamental,5.6499999999999995
1302207,2021,86.18,fundamental,4.24
1302306,2021,90.69999999999999,fundamental,3.8666666666666667
1302405,2021,88.86666666666666,fundamental,4.133333333333334
